Category,Month,Year,Total Entries
Artificial Intelligence,01,2023,1197
Artificial Intelligence,02,2023,1550
Artificial Intelligence,03,2023,1890
Artificial Intelligence,04,2023,1625
Artificial Intelligence,05,2023,2777
Artificial Intelligence,06,2023,2123
Computation and Language,01,2023,447
Computation and Language,02,2023,667
Computation and Language,03,2023,789
Computation and Language,04,2023,692
Computation and Language,05,2023,1969
Computation and Language,06,2023,1141
Computational Complexity,01,2023,69
Computational Complexity,02,2023,79
Computational Complexity,03,2023,90
Computational Complexity,04,2023,85
Computational Complexity,05,2023,100
Computational Complexity,06,2023,69
"Computational Engineering, Finance, and Science",01,2023,157
"Computational Engineering, Finance, and Science",02,2023,145
"Computational Engineering, Finance, and Science",03,2023,170
"Computational Engineering, Finance, and Science",04,2023,179
"Computational Engineering, Finance, and Science",05,2023,197
"Computational Engineering, Finance, and Science",06,2023,178
Computational Geometry,01,2023,263
Computational Geometry,02,2023,345
Computational Geometry,03,2023,776
Computational Geometry,04,2023,568
Computational Geometry,05,2023,517
Computational Geometry,06,2023,461
Computer Science and Game Theory,01,2023,89
Computer Science and Game Theory,02,2023,127
Computer Science and Game Theory,03,2023,98
Computer Science and Game Theory,04,2023,72
Computer Science and Game Theory,05,2023,118
Computer Science and Game Theory,06,2023,80
Computer Vision and Pattern Recognition,01,2023,1232
Computer Vision and Pattern Recognition,02,2023,1513
Computer Vision and Pattern Recognition,03,2023,2667
Computer Vision and Pattern Recognition,04,2023,1926
Computer Vision and Pattern Recognition,05,2023,2451
Computer Vision and Pattern Recognition,06,2023,2026
Computers and Society,01,2023,174
Computers and Society,02,2023,159
Computers and Society,03,2023,172
Computers and Society,04,2023,223
Computers and Society,05,2023,264
Computers and Society,06,2023,203
Cryptography and Security,01,2023,235
Cryptography and Security,02,2023,299
Cryptography and Security,03,2023,327
Cryptography and Security,04,2023,286
Cryptography and Security,05,2023,386
Cryptography and Security,06,2023,385
Data Structures and Algorithms,01,2023,181
Data Structures and Algorithms,02,2023,235
Data Structures and Algorithms,03,2023,213
Data Structures and Algorithms,04,2023,212
Data Structures and Algorithms,05,2023,279
Data Structures and Algorithms,06,2023,224
Databases,01,2023,75
Databases,02,2023,58
Databases,03,2023,86
Databases,04,2023,80
Databases,05,2023,102
Databases,06,2023,109
Digital Libraries,01,2023,65
Digital Libraries,02,2023,69
Digital Libraries,03,2023,73
Digital Libraries,04,2023,75
Digital Libraries,05,2023,98
Digital Libraries,06,2023,81
Discrete Mathematics,01,2023,190
Discrete Mathematics,02,2023,222
Discrete Mathematics,03,2023,217
