Category,Month,Year,Total Entries
Artificial Intelligence,07,2023,1797
Artificial Intelligence,08,2023,1946
Artificial Intelligence,09,2023,1815
Artificial Intelligence,10,2023,2004
Artificial Intelligence,11,2023,2069
Artificial Intelligence,12,2023,1784
Computation and Language,07,2023,1992
Computation and Language,08,2023,2113
Computation and Language,09,2023,2457
Computation and Language,10,2023,3391
Computation and Language,11,2023,2609
Computation and Language,12,2023,2499
Computational Complexity,07,2023,273
Computational Complexity,08,2023,247
Computational Complexity,09,2023,248
Computational Complexity,10,2023,340
Computational Complexity,11,2023,303
Computational Complexity,12,2023,249
"Computational Engineering, Finance, and Science",07,2023,180
"Computational Engineering, Finance, and Science",08,2023,176
"Computational Engineering, Finance, and Science",09,2023,176
"Computational Engineering, Finance, and Science",10,2023,269
"Computational Engineering, Finance, and Science",11,2023,249
"Computational Engineering, Finance, and Science",12,2023,161
Computational Geometry,07,2023,108
Computational Geometry,08,2023,173
Computational Geometry,09,2023,131
Computational Geometry,10,2023,110
Computational Geometry,11,2023,138
Computational Geometry,12,2023,164
Computer Science and Game Theory,07,2023,151
Computer Science and Game Theory,08,2023,116
Computer Science and Game Theory,09,2023,110
Computer Science and Game Theory,10,2023,180
Computer Science and Game Theory,11,2023,114
Computer Science and Game Theory,12,2023,130
Computer Vision and Pattern Recognition,07,2023,2503
Computer Vision and Pattern Recognition,08,2023,2756
Computer Vision and Pattern Recognition,09,2023,2650
Computer Vision and Pattern Recognition,10,2023,3417
Computer Vision and Pattern Recognition,11,2023,3176
Computer Vision and Pattern Recognition,12,2023,3028
Computers and Society,07,2023,205
Computers and Society,08,2023,207
Computers and Society,09,2023,246
Computers and Society,10,2023,292
Computers and Society,11,2023,269
Computers and Society,12,2023,198
Cryptography and Security,07,2023,284
Cryptography and Security,08,2023,289
Cryptography and Security,09,2023,299
Cryptography and Security,10,2023,314
Cryptography and Security,11,2023,276
Cryptography and Security,12,2023,280
Data Structures and Algorithms,07,2023,191
Data Structures and Algorithms,08,2023,186
Data Structures and Algorithms,09,2023,178
Data Structures and Algorithms,10,2023,271
Data Structures and Algorithms,11,2023,180
Data Structures and Algorithms,12,2023,186
Databases,07,2023,64
Databases,08,2023,49
Databases,09,2023,64
Databases,10,2023,69
Databases,11,2023,39
Databases,12,2023,48
Digital Libraries,07,2023,113
Digital Libraries,08,2023,114
Digital Libraries,09,2023,97
Digital Libraries,10,2023,104
Digital Libraries,11,2023,118
Digital Libraries,12,2023,95
Discrete Mathematics,07,2023,90
Discrete Mathematics,08,2023,65
Discrete Mathematics,09,2023,73
Discrete Mathematics,10,2023,109
Discrete Mathematics,11,2023,72
Discrete Mathematics,12,2023,65
"Distributed, Parallel, and Cluster Computing",07,2023,178
"Distributed, Parallel, and Cluster Computing",08,2023,205
"Distributed, Parallel, and Cluster Computing",09,2023,222
"Distributed, Parallel, and Cluster Computing",10,2023,187
"Distributed, Parallel, and Cluster Computing",11,2023,227
"Distributed, Parallel, and Cluster Computing",12,2023,184
Emerging Technologies,07,2023,117
Emerging Technologies,08,2023,103
Emerging Technologies,09,2023,115
Emerging Technologies,10,2023,111
Emerging Technologies,11,2023,152
Emerging Technologies,12,2023,105
Formal Languages and Automata Theory,07,2023,182
Formal Languages and Automata Theory,08,2023,101
Formal Languages and Automata Theory,09,2023,130
Formal Languages and Automata Theory,10,2023,126
Formal Languages and Automata Theory,11,2023,93
Formal Languages and Automata Theory,12,2023,89
General Literature,07,2023,0
General Literature,08,2023,0
General Literature,09,2023,0
General Literature,10,2023,0
General Literature,11,2023,0
General Literature,12,2023,0
Graphics,07,2023,221
Graphics,08,2023,296
Graphics,09,2023,225
Graphics,10,2023,236
Graphics,11,2023,270
Graphics,12,2023,313
Hardware Architecture,07,2023,126
Hardware Architecture,08,2023,138
Hardware Architecture,09,2023,146
Hardware Architecture,10,2023,138
